ticket_id,received_at,marca,canal,customer_id,mensagem
1,2026-03-13T21:00:00,Flytour,whatsapp,275,"Cliente da agência Vai Voando aqui, preciso de uma cotação para 30 colaboradores irem pra uma convenção em Foz em novembro. Inclui transfer, hotel 4 estrelas, e jantar de gala. Posso mandar a planilha?"
2,2026-06-15T14:33:00,BeFly Conecta,whatsapp,223,"Vocês operam viagens corporativas com NDC da Latam? Estamos avaliando trocar de TMC. Aguardo retorno, obrigado!"
3,2026-04-11T07:33:00,BeFly Travel,chat_site,64,"Minha esposa precisa de cadeira de rodas no aeroporto. Como solicitamos? Voo BF4499 GRU→FOR, próxima sexta. Aguardo retorno, obrigado!"
4,2026-04-17T03:09:00,Instaviagem,email,204,Estou tentando emitir uma nota fiscal do meu pacote pra Maceió mas o sistema dá erro. Localizador BF44ZZ1. Empresa: Tech Ltda CNPJ 12.345.678/0001-99.
5,2026-01-09T11:31:00,BeFly Conecta,whatsapp,215,"Olá, vocês têm pacote para Bariloche em julho? Lua de mel, 2 adultos. Orçamento até 18 mil reais total. Saindo de São Paulo."
6,2026-04-14T22:21:00,BeFly Travel,chat_site,93,"Pacote família p/ Disney em outubro, 5 pessoas (eu, esposa, 3 crianças de 5, 8 e 14 anos). Queria hotel da Disney mesmo. Quanto fica? Saída de BH."
7,2026-04-27T07:27:00,BeFly,whatsapp,365,Vocês operam viagens corporativas com NDC da Latam? Estamos avaliando trocar de TMC.
8,2026-04-23T16:29:00,BeFly,telefone,219,Bom dia. Preciso de um relatório consolidado dos gastos com viagens corporativas da nossa empresa (Tech XYZ) do último trimestre. Pode ser por e-mail.
9,2026-06-18T02:34:00,BeFly Travel,whatsapp,407,"Posso usar pontos da Gol pra pagar pacote BeFly? Já mandei essa mensagem 2 vezes, ninguém respondeu."
10,2026-02-14T10:28:00,BeFly,whatsapp,254,"Oi, sou agente de uma franquia BeFly Travel em POA. Pode me ajudar com a comissão sobre o booking BF55-2026?"
11,2026-02-22T10:01:00,BeFly Conecta,whatsapp,263,"Oi, comprei seguro viagem pra Europa e estou doente em Roma. Como aciono o atendimento médico?"
12,2026-01-28T16:01:00,Instaviagem,email,493,"Minha esposa precisa de cadeira de rodas no aeroporto. Como solicitamos? Voo BF4499 GRU→FOR, próxima sexta. Estou muito chateado, espero solução."
13,2026-04-15T07:35:00,Belvitur,chat_site,175,"Quero migrar minha conta de Silver pra Gold, quantos voos faltam? Já mandei essa mensagem 2 vezes, ninguém respondeu."
14,2026-04-16T13:36:00,Belvitur,whatsapp,48,"BeFly Conecta funciona com integração SAP Concur? Pergunto pra trazer pra nossa companhia. Cliente desde 2019, espero atendimento à altura."
15,2026-05-01T21:43:00,BeFly,telefone,159,"Olá! Queria fazer uma viagem solo pra Chile pra esquiar em julho, primeira vez fora do Brasil. Tô meio perdido, vocês ajudam com seguro, hospedagem, transfer? Budget ~12k."
16,2026-05-05T00:22:00,Belvitur,whatsapp,198,"Tô em Tóquio, perdi o passaporte. O seguro de vocês ajuda?"
17,2026-03-06T17:02:00,BeFly,whatsapp,31,"Quero migrar minha conta de Silver pra Gold, quantos voos faltam? Cliente desde 2019, espero atendimento à altura."
18,2026-01-24T13:05:00,Flytour,whatsapp,470,"Tem promoção pra Europa pra setembro? Queria conhecer Itália + Grécia. 2 adultos. Flexível em datas, max ~25k."
19,2026-03-15T02:48:00,BeFly Conecta,chat_site,420,"Vocês ainda mantêm parceria com a Smiles? Quero usar pontos pra Madrid. Cliente desde 2019, espero atendimento à altura."
20,2026-02-20T16:26:00,Flytour,presencial,350,Cancelaram nosso voo de volta de Maceió. Estamos com 2 crianças pequenas e mais R$ 0 no cartão. O que vocês fazem?
21,2026-01-28T11:23:00,BeFly,whatsapp,338,Tô vendo no site valores diferentes pra mesmo voo dependendo do horário. Tem alguma forma de garantir o melhor preço?
22,2026-02-03T04:40:00,BeFly,whatsapp,215,"Estou tentando emitir uma nota fiscal do meu pacote pra Maceió mas o sistema dá erro. Localizador BF44ZZ1. Empresa: Tech Ltda CNPJ 12.345.678/0001-99. Já mandei essa mensagem 2 vezes, ninguém respondeu."
23,2026-02-28T00:02:00,Instaviagem,telefone,264,"Quero comprar miles pra completar resgate. Como faço? Já mandei essa mensagem 2 vezes, ninguém respondeu."
24,2026-05-15T16:10:00,BeFly,chat_site,400,Quem é o gerente de conta da Acme Corp? Preciso falar com ele urgente sobre os SLAs do contrato.
25,2026-03-13T10:19:00,BeFly Travel,whatsapp,247,"Pacote pra esquiar nos Andes Argentinos, fim de agosto, 2 adultos + 1 criança 10 anos. Saída de Floripa preferencialmente."
26,2026-02-04T16:47:00,BeFly,whatsapp,84,Tem mais detalhes do pacote 'Caminhos além do imaginável' de vocês? Vi no Instagram.
27,2026-01-19T15:18:00,BeFly,whatsapp,52,"Comprei seguro viagem mas perdi o número da apólice. Pode me reenviar? Email cadastrado: maria.silva@empresa.com.br Aguardo retorno, obrigado!"
28,2026-01-13T19:12:00,Vai Voando,email,77,Posso parcelar minha viagem em 12x sem juros se eu fechar hoje?
29,2026-04-20T15:23:00,BeFly Travel,whatsapp,435,"Tem mais detalhes do pacote 'Caminhos além do imaginável' de vocês? Vi no Instagram. Estou muito chateado, espero solução."
30,2026-03-26T19:56:00,BeFly Travel,whatsapp,74,Vocês ainda mantêm parceria com a Smiles? Quero usar pontos pra Madrid.
31,2026-05-15T18:38:00,BeFly,chat_site,83,Vocês operam viagens corporativas com NDC da Latam? Estamos avaliando trocar de TMC.
32,2026-03-07T20:31:00,BeFly,email,14,"Voo BF2200 atrasou 4 horas ontem (GRU→REC), perdi conexão pra Fernando de Noronha. Companhia paga reacomodação? Já mandei essa mensagem 2 vezes, ninguém respondeu."
33,2026-04-28T00:56:00,Vai Voando,telefone,134,"Tem voucher de R$ 500 que vocês me deram em jul/2025 que ainda não usei. Validade era 12 meses, expira semana que vem. Posso usar pra qualquer destino?"
34,2026-03-06T18:03:00,Belvitur,email,399,"Voo BF2200 atrasou 4 horas ontem (GRU→REC), perdi conexão pra Fernando de Noronha. Companhia paga reacomodação? Por favor responder no whatsapp 11 9XXXX-XXXX."
35,2026-04-22T15:14:00,Belvitur,presencial,437,"Sou da imprensa, gostaria de uma entrevista com o CEO sobre os planos da BeFly após a aquisição da Queensberry. Por favor responder no whatsapp 11 9XXXX-XXXX."
36,2026-05-29T23:21:00,BeFly Travel,chat_site,103,Minha bagagem sumiu no voo BF7700 ontem. Cheguei em Recife e a mala não veio. Já fui no balcão e abri o RIR mas precisava de ajuda pra rastrear.
37,2026-05-14T01:48:00,BeFly,whatsapp,144,"Voo BF2200 atrasou 4 horas ontem (GRU→REC), perdi conexão pra Fernando de Noronha. Companhia paga reacomodação?"
38,2026-03-04T16:11:00,BeFly Travel,instagram_dm,179,"Mudei de empresa, agora sou da Acme. Como atualizo o contrato corporativo BeFly Conecta no meu CPF? Já mandei essa mensagem 2 vezes, ninguém respondeu."
39,2026-02-11T07:06:00,BeFly Travel,whatsapp,248,"Posso parcelar minha viagem em 12x sem juros se eu fechar hoje? Aguardo retorno, obrigado!"
40,2026-04-22T02:16:00,Belvitur,email,335,Quem é o gerente de conta da Acme Corp? Preciso falar com ele urgente sobre os SLAs do contrato.
41,2026-01-16T10:24:00,Belvitur,whatsapp,199,"Quero alterar a refeição especial do meu voo pra vegana. BF9988, embarque dia 03/08."
42,2026-03-29T00:33:00,Vai Voando,email,326,Voo BF5500 hoje cedo: o piloto fez pouso de emergência em Brasília. Estamos sentados há 3h no aeroporto sem informação. Por favor avisem nossas famílias e nos digam o que fazer.
43,2026-03-26T07:34:00,BeFly Travel,instagram_dm,372,"Oi, comprei seguro viagem pra Europa e estou doente em Roma. Como aciono o atendimento médico? Cliente desde 2019, espero atendimento à altura."
44,2026-01-06T00:21:00,BeFly,chat_site,413,"Boa tarde, peço orçamento de Réveillon em Búzios, 4 noites, casal, hotel de praia 4 estrelas, com transfer. Total ideal até 8k. Por favor responder no whatsapp 11 9XXXX-XXXX."
45,2026-03-28T08:29:00,Flytour,whatsapp,281,"Tô em Tóquio, perdi o passaporte. O seguro de vocês ajuda? Já mandei essa mensagem 2 vezes, ninguém respondeu."
46,2026-05-26T12:26:00,Instaviagem,email,270,"Bom dia! Sou da agência Instaviagem, parceira de vocês. Cliente meu pediu Punta del Este Carnaval, 4 noites, 2 adultos. Faz um orçamento por favor? Aguardo retorno, obrigado!"
47,2026-03-20T23:20:00,Queensberry,whatsapp,448,"Aniversário de 40 anos da minha mãe, surpresa, em Buenos Aires. 2 noites, 4 adultos. Hotel central, jantar de gala. Budget total 18k."
48,2026-02-23T07:59:00,BeFly Conecta,telefone,167,"Tem promoção pra Europa pra setembro? Queria conhecer Itália + Grécia. 2 adultos. Flexível em datas, max ~25k. Por favor responder no whatsapp 11 9XXXX-XXXX."
49,2026-06-01T20:39:00,BeFly,chat_site,182,"URGENTE: passageiro nosso (CEO) está retido em Lisboa, voo de retorno cancelado por greve. Precisamos de remarcação imediata para BR-GRU hoje. Custo não é problema. Booking BF11X44."
50,2026-05-29T08:59:00,Vai Voando,email,470,"Pré aprovado um pacote pra Maldivas, 7 noites, all inclusive, lua de mel. Casal 30s, saindo SP. Limite 60k total. Datas: out/nov 2026."
51,2026-04-06T07:14:00,BeFly Conecta,chat_site,398,"Sou da imprensa, gostaria de uma entrevista com o CEO sobre os planos da BeFly após a aquisição da Queensberry. Por favor responder no whatsapp 11 9XXXX-XXXX."
52,2026-05-22T06:33:00,Belvitur,whatsapp,243,"Oi, sou agente de uma franquia BeFly Travel em POA. Pode me ajudar com a comissão sobre o booking BF55-2026?"
53,2026-04-12T07:16:00,BeFly,telefone,272,Quem é o gerente de conta da Acme Corp? Preciso falar com ele urgente sobre os SLAs do contrato.
54,2026-05-22T08:32:00,BeFly,email,128,"Bom dia! Sou da agência Instaviagem, parceira de vocês. Cliente meu pediu Punta del Este Carnaval, 4 noites, 2 adultos. Faz um orçamento por favor?"
